;models_name_list;target_axis;indicator_axis;baseline_indicator;is_VLM
0;openCLIP('RN50', 'yfcc15m');0.48574;6.78483;0.28102;True
1;openCLIP('RN50-quickgelu', 'yfcc15m');0.4878;6.81976;0.27822;True
2;openCLIP('RN101', 'yfcc15m');0.51792;6.7758;0.30636;True
3;openCLIP('RN101-quickgelu', 'yfcc15m');0.51958;6.8226;0.30444;True
4;albeffeatureextractor;0.5695;6.49295;0.3383;True
5;openCLIP('RN50', 'cc12m');0.57192;6.64992;0.33124;True
6;openCLIP('RN50-quickgelu', 'cc12m');0.57774;6.68972;0.33734;True
7;blipfeatureextractor;0.6515;6.54897;0.41134;True
8;AlexNet10;0.76806;7.01017;0.56556;False
9;SqueezeNet22;0.78078;7.00052;0.58096;False
10;SqueezeNet23;0.78288;7.02883;0.58188;False
11;openCLIP('RN50', 'openai');0.82284;6.32595;0.57956;True
12;openCLIP('RN50-quickgelu', 'openai');0.82284;6.32595;0.57956;True
13;RN50;0.82306;6.32669;0.5788;True
14;openCLIP('ViT-B-32', 'laion400me32');0.82832;6.3495;0.5983;True
15;openCLIP('ViT-B-32', 'laion400me31');0.82914;6.34584;0.59948;True
16;openCLIP('RN101', 'openai');0.84462;6.28248;0.60692;True
17;openCLIP('RN101-quickgelu', 'openai');0.84462;6.28248;0.60692;True
18;RN101;0.84462;6.28417;0.6065;True
19;openCLIP('ViT-B-32-quickgelu', 'laion400me31');0.8481;6.27692;0.62446;True
20;openCLIP('ViT-B-32-quickgelu', 'laion400me32');0.84824;6.27872;0.62446;True
21;vitb32;0.85412;6.15259;0.61826;True
22;openCLIP('ViT-B-32', 'openai');0.8542;6.15033;0.6189;True
23;openCLIP('cocaViT-B-32', 'laion2bs13bb90k');0.85538;6.23847;0.63328;True
24;MobileNetV330;0.856;6.75915;0.67668;False
25;MNASNet18;0.85736;6.78458;0.6775;False
26;openCLIP('RN50x4', 'openai');0.86926;6.17208;0.64098;True
27;VGG14;0.8693;6.64796;0.6904;False
28;RN50x4;0.86938;6.1656;0.64082;True
29;Inception36;0.8705;6.66348;0.69522;False
30;openCLIP('ViT-B-32', 'laion2be16');0.87078;6.22267;0.6544;True
31;ResNet12;0.874;6.64253;0.6976;False
32;openCLIP('ViT-B-32', 'laion2bs34bb79k');0.8756;6.1789;0.66264;True
33;VGG15;0.877;6.61116;0.6994;False
34;openCLIP('ViT-B-16', 'laion400me31');0.87744;6.15317;0.66558;True
35;openCLIP('ViT-B-16', 'laion400me32');0.87842;6.15003;0.66626;True
36;GoogLeNet21;0.87918;6.61453;0.69772;False
37;VGG24;0.88076;6.59268;0.7038;False
38;MNASNet19;0.8867;6.59727;0.70882;False
39;vitb16;0.88816;6.0016;0.6661;True
40;VGG25;0.88832;6.55068;0.71554;False
41;VGG16;0.88838;6.58;0.71586;False
42;openCLIP('ViT-B-16-plus-240', 'laion400me31');0.89054;6.11289;0.68536;True
43;openCLIP('ViT-B-16-plus-240', 'laion400me32');0.89062;6.11562;0.68602;True
44;openCLIP('RN50x16', 'openai');0.89106;6.07972;0.67728;True
45;VGG17;0.8934;6.576;0.72394;False
46;openCLIP('ViT-B-16', 'laion2bs34bb88k');0.8946;6.07565;0.69312;True
47;ResNet13;0.89914;6.53892;0.73302;False
48;VGG26;0.89992;6.53152;0.7337;False
49;MNASNet20;0.90076;6.53843;0.73468;False
50;openCLIP('RN50x64', 'openai');0.90282;6.07782;0.7076;True
51;VGG10;0.90444;6.4957;0.74242;False
52;DenseNet27;0.90564;6.5373;0.74438;False
53;openCLIP('ViT-L-14', 'laion400me32');0.90974;6.03602;0.72254;True
54;openCLIP('ViT-L-14', 'laion400me31');0.9099;6.03718;0.722;True
55;VisionTransformer7;0.91208;6.49365;0.75912;False
56;MobileNetV331;0.91276;6.48785;0.75314;False
57;DenseNet29;0.91544;6.45699;0.75588;False
58;vitl14;0.91606;5.96137;0.72868;True
59;ShuffleNetV29;0.9166;6.54942;0.76194;False
60;VisionTransformer8;0.91888;6.47105;0.7696;False
61;MNASNet3;0.91958;6.44031;0.76076;False
62;DenseNet2;0.92106;6.42575;0.76886;False
63;openCLIP('ViT-L-14', 'laion2bs32bb82k');0.92356;5.93854;0.74526;True
64;EfficientNet1;0.92402;6.37939;0.77672;False
65;DenseNet28;0.92412;6.42938;0.77112;False
66;vitl14336;0.9249;5.92473;0.74222;True
67;openCLIP('cocaViT-L-14', 'laion2bs13bb90k');0.92638;5.89176;0.75234;True
68;ResNet0;0.9409;6.31044;0.80346;False
69;RegNet4;0.9442;6.2541;0.80734;False
70;ResNet5;0.94836;6.24573;0.81672;False
71;ResNet6;0.95062;6.21365;0.82346;False
72;ConvNeXt12;0.9514;6.29169;0.82134;False
73;ResNet11;0.95176;6.22039;0.82348;False
74;SwinTransformer5;0.957;6.20468;0.83172;False
