;models_name_list;target_axis;indicator_axis;baseline_indicator;is_VLM
0;ResNet12;0.0112;6.64253;0.6976;False
1;SqueezeNet23;0.01147;7.02883;0.58188;False
2;SqueezeNet22;0.01267;7.00052;0.58096;False
3;VGG14;0.016;6.64796;0.6904;False
4;GoogLeNet21;0.01693;6.61453;0.69772;False
5;VGG24;0.0172;6.59268;0.7038;False
6;AlexNet10;0.01813;7.01017;0.56556;False
7;ResNet13;0.01827;6.53892;0.73302;False
8;VGG15;0.0184;6.61116;0.6994;False
9;MNASNet18;0.0184;6.78458;0.6775;False
10;VGG17;0.02013;6.576;0.72394;False
11;VGG25;0.0208;6.55068;0.71554;False
12;DenseNet27;0.02133;6.5373;0.74438;False
13;VGG26;0.02573;6.53152;0.7337;False
14;VGG16;0.02573;6.58;0.71586;False
15;MobileNetV330;0.026;6.75915;0.67668;False
16;MNASNet20;0.02853;6.53843;0.73468;False
17;VGG10;0.02867;6.4957;0.74242;False
18;DenseNet29;0.0316;6.45699;0.75588;False
19;DenseNet2;0.03787;6.42575;0.76886;False
20;MNASNet19;0.0404;6.59727;0.70882;False
21;DenseNet28;0.0416;6.42938;0.77112;False
22;ShuffleNetV29;0.05013;6.54942;0.76194;False
23;Inception36;0.05187;6.66348;0.69522;False
24;MobileNetV331;0.05507;6.48785;0.75314;False
25;EfficientNet1;0.0684;6.37939;0.77672;False
26;openCLIP('RN50-quickgelu', 'cc12m');0.0732;6.68972;0.33734;True
27;openCLIP('RN50', 'cc12m');0.07413;6.64992;0.33124;True
28;MNASNet3;0.08213;6.44031;0.76076;False
29;VisionTransformer7;0.09373;6.49365;0.75912;False
30;openCLIP('RN50-quickgelu', 'yfcc15m');0.11413;6.81976;0.27822;True
31;openCLIP('RN50', 'yfcc15m');0.11813;6.78483;0.28102;True
32;VisionTransformer8;0.1196;6.47105;0.7696;False
33;openCLIP('RN101-quickgelu', 'yfcc15m');0.14187;6.8226;0.30444;True
34;openCLIP('RN101', 'yfcc15m');0.14373;6.7758;0.30636;True
35;ResNet0;0.16693;6.31044;0.80346;False
36;albeffeatureextractor;0.17733;6.49295;0.3383;True
37;RegNet4;0.18773;6.2541;0.80734;False
38;ResNet5;0.1904;6.24573;0.81672;False
39;openCLIP('ViT-B-32', 'laion400me31');0.1916;6.34584;0.59948;True
40;openCLIP('ViT-B-32', 'laion400me32');0.19293;6.3495;0.5983;True
41;openCLIP('cocaViT-B-32', 'laion2bs13bb90k');0.21667;6.23847;0.63328;True
42;openCLIP('RN50', 'openai');0.21733;6.32595;0.57956;True
43;openCLIP('RN50-quickgelu', 'openai');0.21733;6.32595;0.57956;True
44;RN50;0.218;6.32669;0.5788;True
45;openCLIP('ViT-B-32-quickgelu', 'laion400me31');0.2204;6.27692;0.62446;True
46;openCLIP('ViT-B-32-quickgelu', 'laion400me32');0.2224;6.27872;0.62446;True
47;blipfeatureextractor;0.22693;6.54897;0.41134;True
48;ResNet6;0.22773;6.21365;0.82346;False
49;ConvNeXt12;0.24413;6.29169;0.82134;False
50;ResNet11;0.2476;6.22039;0.82348;False
51;openCLIP('ViT-B-32', 'laion2be16');0.2596;6.22267;0.6544;True
52;openCLIP('ViT-B-32', 'laion2bs34bb79k');0.26173;6.1789;0.66264;True
53;RN101;0.27987;6.28417;0.6065;True
54;openCLIP('RN101', 'openai');0.28053;6.28248;0.60692;True
55;openCLIP('RN101-quickgelu', 'openai');0.28053;6.28248;0.60692;True
56;openCLIP('ViT-B-32', 'openai');0.29853;6.15033;0.6189;True
57;vitb32;0.2992;6.15259;0.61826;True
58;openCLIP('ViT-B-16', 'laion400me31');0.322;6.15317;0.66558;True
59;openCLIP('ViT-B-16', 'laion400me32');0.32427;6.15003;0.66626;True
60;SwinTransformer5;0.33507;6.20468;0.83172;False
61;openCLIP('ViT-B-16-plus-240', 'laion400me31');0.36107;6.11289;0.68536;True
62;openCLIP('ViT-B-16-plus-240', 'laion400me32');0.36373;6.11562;0.68602;True
63;openCLIP('ViT-B-16', 'laion2bs34bb88k');0.36613;6.07565;0.69312;True
64;openCLIP('RN50x4', 'openai');0.3832;6.17208;0.64098;True
65;RN50x4;0.38373;6.1656;0.64082;True
66;openCLIP('ViT-L-14', 'laion400me31');0.45707;6.03718;0.722;True
67;openCLIP('ViT-L-14', 'laion400me32');0.4616;6.03602;0.72254;True
68;vitb16;0.4756;6.0016;0.6661;True
69;openCLIP('RN50x16', 'openai');0.5212;6.07972;0.67728;True
70;openCLIP('ViT-L-14', 'laion2bs32bb82k');0.52747;5.93854;0.74526;True
71;openCLIP('cocaViT-L-14', 'laion2bs13bb90k');0.5288;5.89176;0.75234;True
72;openCLIP('RN50x64', 'openai');0.66067;6.07782;0.7076;True
73;vitl14;0.6804;5.96137;0.72868;True
74;vitl14336;0.74813;5.92473;0.74222;True
