;models_name_list;target_axis;indicator_axis;baseline_indicator;is_VLM
0;openCLIP('RN50-quickgelu', 'yfcc15m');0.33477;6.81976;0.27822;True
1;openCLIP('RN50', 'yfcc15m');0.34827;6.78483;0.28102;True
2;AlexNet10;0.35473;7.01017;0.56556;False
3;SqueezeNet22;0.3655;7.00052;0.58096;False
4;SqueezeNet23;0.3679;7.02883;0.58188;False
5;openCLIP('RN101-quickgelu', 'yfcc15m');0.401;6.8226;0.30444;True
6;openCLIP('RN101', 'yfcc15m');0.40637;6.7758;0.30636;True
7;VGG15;0.4103;6.61116;0.6994;False
8;VGG14;0.4107;6.64796;0.6904;False
9;VGG16;0.42533;6.58;0.71586;False
10;VGG17;0.42733;6.576;0.72394;False
11;MNASNet18;0.43063;6.78458;0.6775;False
12;VGG24;0.44023;6.59268;0.7038;False
13;VGG25;0.4435;6.55068;0.71554;False
14;MobileNetV330;0.44533;6.75915;0.67668;False
15;VGG26;0.44907;6.53152;0.7337;False
16;MNASNet19;0.46567;6.59727;0.70882;False
17;MNASNet20;0.47627;6.53843;0.73468;False
18;VGG10;0.4849;6.4957;0.74242;False
19;ResNet12;0.48807;6.64253;0.6976;False
20;MobileNetV331;0.50257;6.48785;0.75314;False
21;ResNet13;0.51283;6.53892;0.73302;False
22;Inception36;0.51317;6.66348;0.69522;False
23;GoogLeNet21;0.51407;6.61453;0.69772;False
24;MNASNet3;0.51607;6.44031;0.76076;False
25;EfficientNet1;0.51843;6.37939;0.77672;False
26;DenseNet27;0.52403;6.5373;0.74438;False
27;ShuffleNetV29;0.52717;6.54942;0.76194;False
28;DenseNet29;0.5419;6.45699;0.75588;False
29;DenseNet28;0.54807;6.42938;0.77112;False
30;DenseNet2;0.55393;6.42575;0.76886;False
31;VisionTransformer7;0.55517;6.49365;0.75912;False
32;ResNet0;0.55583;6.31044;0.80346;False
33;ResNet5;0.5753;6.24573;0.81672;False
34;VisionTransformer8;0.57707;6.47105;0.7696;False
35;RegNet4;0.57947;6.2541;0.80734;False
36;ConvNeXt12;0.57997;6.29169;0.82134;False
37;ResNet6;0.585;6.21365;0.82346;False
38;SwinTransformer5;0.5958;6.20468;0.83172;False
39;ResNet11;0.5958;6.22039;0.82348;False
40;openCLIP('RN50', 'cc12m');0.6278;6.64992;0.33124;True
41;openCLIP('RN50-quickgelu', 'cc12m');0.62867;6.68972;0.33734;True
42;albeffeatureextractor;0.7462;6.49295;0.3383;True
43;openCLIP('RN50', 'openai');0.7681;6.32595;0.57956;True
44;openCLIP('RN50-quickgelu', 'openai');0.7681;6.32595;0.57956;True
45;RN50;0.76893;6.32669;0.5788;True
46;RN101;0.82777;6.28417;0.6065;True
47;openCLIP('RN101', 'openai');0.82807;6.28248;0.60692;True
48;openCLIP('RN101-quickgelu', 'openai');0.82807;6.28248;0.60692;True
49;vitb32;0.84973;6.15259;0.61826;True
50;openCLIP('ViT-B-32', 'openai');0.85007;6.15033;0.6189;True
51;openCLIP('ViT-B-32', 'laion400me32');0.8552;6.3495;0.5983;True
52;RN50x4;0.85553;6.1656;0.64082;True
53;openCLIP('RN50x4', 'openai');0.85577;6.17208;0.64098;True
54;openCLIP('ViT-B-32', 'laion400me31');0.85577;6.34584;0.59948;True
55;openCLIP('cocaViT-B-32', 'laion2bs13bb90k');0.86907;6.23847;0.63328;True
56;openCLIP('ViT-B-32-quickgelu', 'laion400me32');0.8758;6.27872;0.62446;True
57;openCLIP('ViT-B-32-quickgelu', 'laion400me31');0.87583;6.27692;0.62446;True
58;blipfeatureextractor;0.88273;6.54897;0.41134;True
59;openCLIP('ViT-B-32', 'laion2be16');0.8855;6.22267;0.6544;True
60;openCLIP('ViT-B-32', 'laion2bs34bb79k');0.8881;6.1789;0.66264;True
61;openCLIP('RN50x16', 'openai');0.8935;6.07972;0.67728;True
62;vitb16;0.89533;6.0016;0.6661;True
63;openCLIP('ViT-B-16', 'laion400me31');0.90693;6.15317;0.66558;True
64;openCLIP('ViT-B-16', 'laion400me32');0.9074;6.15003;0.66626;True
65;openCLIP('ViT-B-16-plus-240', 'laion400me31');0.9189;6.11289;0.68536;True
66;openCLIP('ViT-B-16-plus-240', 'laion400me32');0.91983;6.11562;0.68602;True
67;openCLIP('ViT-B-16', 'laion2bs34bb88k');0.92147;6.07565;0.69312;True
68;openCLIP('RN50x64', 'openai');0.92737;6.07782;0.7076;True
69;openCLIP('ViT-L-14', 'laion400me31');0.94227;6.03718;0.722;True
70;openCLIP('ViT-L-14', 'laion400me32');0.9425;6.03602;0.72254;True
71;vitl14;0.95117;5.96137;0.72868;True
72;openCLIP('cocaViT-L-14', 'laion2bs13bb90k');0.95427;5.89176;0.75234;True
73;openCLIP('ViT-L-14', 'laion2bs32bb82k');0.95527;5.93854;0.74526;True
74;vitl14336;0.95963;5.92473;0.74222;True
