;models_name_list;target_axis;indicator_axis;baseline_indicator;is_VLM
0;openCLIP('RN50-quickgelu', 'yfcc15m');0.12867;6.81976;0.27822;True
1;openCLIP('RN50', 'yfcc15m');0.13264;6.78483;0.28102;True
2;openCLIP('RN101', 'yfcc15m');0.16882;6.7758;0.30636;True
3;openCLIP('RN101-quickgelu', 'yfcc15m');0.17239;6.8226;0.30444;True
4;AlexNet10;0.2026;7.01017;0.56556;False
5;SqueezeNet22;0.20953;7.00052;0.58096;False
6;SqueezeNet23;0.22276;7.02883;0.58188;False
7;MNASNet18;0.27808;6.78458;0.6775;False
8;VGG14;0.28224;6.64796;0.6904;False
9;VGG15;0.28784;6.61116;0.6994;False
10;VGG16;0.30519;6.58;0.71586;False
11;VGG24;0.30732;6.59268;0.7038;False
12;VGG17;0.30991;6.576;0.72394;False
13;VGG25;0.31694;6.55068;0.71554;False
14;MobileNetV330;0.31848;6.75915;0.67668;False
15;MNASNet19;0.32718;6.59727;0.70882;False
16;VGG26;0.34037;6.53152;0.7337;False
17;MNASNet20;0.34204;6.53843;0.73468;False
18;ResNet12;0.3507;6.64253;0.6976;False
19;MobileNetV331;0.36788;6.48785;0.75314;False
20;VGG10;0.36853;6.4957;0.74242;False
21;GoogLeNet21;0.38539;6.61453;0.69772;False
22;ShuffleNetV29;0.38578;6.54942;0.76194;False
23;ResNet13;0.39054;6.53892;0.73302;False
24;MNASNet3;0.39482;6.44031;0.76076;False
25;openCLIP('RN50', 'cc12m');0.39969;6.64992;0.33124;True
26;DenseNet27;0.40268;6.5373;0.74438;False
27;openCLIP('RN50-quickgelu', 'cc12m');0.40553;6.68972;0.33734;True
28;EfficientNet1;0.40704;6.37939;0.77672;False
29;Inception36;0.42475;6.66348;0.69522;False
30;DenseNet29;0.43727;6.45699;0.75588;False
31;VisionTransformer7;0.43947;6.49365;0.75912;False
32;ResNet0;0.44363;6.31044;0.80346;False
33;DenseNet2;0.44483;6.42575;0.76886;False
34;DenseNet28;0.45208;6.42938;0.77112;False
35;ConvNeXt12;0.45532;6.29169;0.82134;False
36;RegNet4;0.4644;6.2541;0.80734;False
37;VisionTransformer8;0.46664;6.47105;0.7696;False
38;ResNet5;0.469;6.24573;0.81672;False
39;albeffeatureextractor;0.47246;6.49295;0.3383;True
40;SwinTransformer5;0.47891;6.20468;0.83172;False
41;ResNet11;0.48348;6.22039;0.82348;False
42;ResNet6;0.48523;6.21365;0.82346;False
43;openCLIP('RN50', 'openai');0.57291;6.32595;0.57956;True
44;openCLIP('RN50-quickgelu', 'openai');0.57291;6.32595;0.57956;True
45;RN50;0.57429;6.32669;0.5788;True
46;RN101;0.6286;6.28417;0.6065;True
47;openCLIP('RN101', 'openai');0.62888;6.28248;0.60692;True
48;openCLIP('RN101-quickgelu', 'openai');0.62888;6.28248;0.60692;True
49;vitb32;0.65495;6.15259;0.61826;True
50;openCLIP('ViT-B-32', 'openai');0.65523;6.15033;0.6189;True
51;openCLIP('RN50x4', 'openai');0.66531;6.17208;0.64098;True
52;RN50x4;0.66563;6.1656;0.64082;True
53;openCLIP('ViT-B-32', 'laion400me32');0.67889;6.3495;0.5983;True
54;openCLIP('ViT-B-32', 'laion400me31');0.67948;6.34584;0.59948;True
55;blipfeatureextractor;0.69821;6.54897;0.41134;True
56;vitb16;0.71098;6.0016;0.6661;True
57;openCLIP('ViT-B-32-quickgelu', 'laion400me32');0.71324;6.27872;0.62446;True
58;openCLIP('ViT-B-32-quickgelu', 'laion400me31');0.71332;6.27692;0.62446;True
59;openCLIP('RN50x16', 'openai');0.72247;6.07972;0.67728;True
60;openCLIP('cocaViT-B-32', 'laion2bs13bb90k');0.73774;6.23847;0.63328;True
61;openCLIP('ViT-B-16', 'laion400me31');0.7483;6.15317;0.66558;True
62;openCLIP('ViT-B-32', 'laion2be16');0.74863;6.22267;0.6544;True
63;openCLIP('ViT-B-16', 'laion400me32');0.74949;6.15003;0.66626;True
64;openCLIP('ViT-B-32', 'laion2bs34bb79k');0.75278;6.1789;0.66264;True
65;openCLIP('RN50x64', 'openai');0.75887;6.07782;0.7076;True
66;openCLIP('ViT-B-16-plus-240', 'laion400me32');0.76624;6.11562;0.68602;True
67;openCLIP('ViT-B-16-plus-240', 'laion400me31');0.76637;6.11289;0.68536;True
68;openCLIP('ViT-B-16', 'laion2bs34bb88k');0.78105;6.07565;0.69312;True
69;vitl14;0.80457;5.96137;0.72868;True
70;openCLIP('ViT-L-14', 'laion400me31');0.80858;6.03718;0.722;True
71;openCLIP('ViT-L-14', 'laion400me32');0.81014;6.03602;0.72254;True
72;vitl14336;0.81416;5.92473;0.74222;True
73;openCLIP('ViT-L-14', 'laion2bs32bb82k');0.83338;5.93854;0.74526;True
74;openCLIP('cocaViT-L-14', 'laion2bs13bb90k');0.84301;5.89176;0.75234;True
