;models_name_list;target_axis;indicator_axis;baseline_indicator;is_VLM
0;AlexNet10;0.13939;7.01017;0.56556;False
1;openCLIP('RN50-quickgelu', 'yfcc15m');0.1445;6.81976;0.27822;True
2;openCLIP('RN50', 'yfcc15m');0.15064;6.78483;0.28102;True
3;albeffeatureextractor;0.15409;6.49295;0.3383;True
4;openCLIP('RN101-quickgelu', 'yfcc15m');0.16033;6.8226;0.30444;True
5;SqueezeNet22;0.16577;7.00052;0.58096;False
6;openCLIP('RN101', 'yfcc15m');0.16878;6.7758;0.30636;True
7;SqueezeNet23;0.16986;7.02883;0.58188;False
8;openCLIP('RN50-quickgelu', 'cc12m');0.21471;6.68972;0.33734;True
9;openCLIP('RN50', 'cc12m');0.21654;6.64992;0.33124;True
10;MobileNetV330;0.24572;6.75915;0.67668;False
11;VGG14;0.24626;6.64796;0.6904;False
12;MNASNet18;0.24637;6.78458;0.6775;False
13;VGG15;0.24917;6.61116;0.6994;False
14;blipfeatureextractor;0.26166;6.54897;0.41134;True
15;VGG24;0.26785;6.59268;0.7038;False
16;ResNet12;0.27172;6.64253;0.6976;False
17;VGG16;0.28217;6.58;0.71586;False
18;VGG17;0.28664;6.576;0.72394;False
19;VGG25;0.28701;6.55068;0.71554;False
20;GoogLeNet21;0.29751;6.61453;0.69772;False
21;VisionTransformer7;0.3106;6.49365;0.75912;False
22;ResNet13;0.31636;6.53892;0.73302;False
23;VisionTransformer8;0.32109;6.47105;0.7696;False
24;VGG26;0.32131;6.53152;0.7337;False
25;MNASNet20;0.32529;6.53843;0.73468;False
26;MNASNet19;0.32869;6.59727;0.70882;False
27;VGG10;0.32922;6.4957;0.74242;False
28;Inception36;0.33891;6.66348;0.69522;False
29;DenseNet27;0.33945;6.5373;0.74438;False
30;DenseNet29;0.35609;6.45699;0.75588;False
31;MobileNetV331;0.35636;6.48785;0.75314;False
32;ShuffleNetV29;0.36357;6.54942;0.76194;False
33;DenseNet2;0.36783;6.42575;0.76886;False
34;DenseNet28;0.37569;6.42938;0.77112;False
35;EfficientNet1;0.37709;6.37939;0.77672;False
36;MNASNet3;0.39028;6.44031;0.76076;False
37;RN50;0.39787;6.32669;0.5788;True
38;openCLIP('RN50', 'openai');0.39814;6.32595;0.57956;True
39;openCLIP('RN50-quickgelu', 'openai');0.39814;6.32595;0.57956;True
40;openCLIP('ViT-B-32', 'laion400me31');0.42549;6.34584;0.59948;True
41;openCLIP('ViT-B-32', 'laion400me32');0.42603;6.3495;0.5983;True
42;openCLIP('ViT-B-32-quickgelu', 'laion400me31');0.44282;6.27692;0.62446;True
43;RN101;0.44298;6.28417;0.6065;True
44;openCLIP('RN101', 'openai');0.44358;6.28248;0.60692;True
45;openCLIP('RN101-quickgelu', 'openai');0.44358;6.28248;0.60692;True
46;openCLIP('ViT-B-32-quickgelu', 'laion400me32');0.44417;6.27872;0.62446;True
47;vitb32;0.45149;6.15259;0.61826;True
48;openCLIP('ViT-B-32', 'openai');0.45192;6.15033;0.6189;True
49;ResNet0;0.45499;6.31044;0.80346;False
50;openCLIP('cocaViT-B-32', 'laion2bs13bb90k');0.45628;6.23847;0.63328;True
51;RegNet4;0.46592;6.2541;0.80734;False
52;ConvNeXt12;0.46646;6.29169;0.82134;False
53;ResNet5;0.47443;6.24573;0.81672;False
54;openCLIP('ViT-B-32', 'laion2be16');0.48826;6.22267;0.6544;True
55;SwinTransformer5;0.48853;6.20468;0.83172;False
56;ResNet6;0.48982;6.21365;0.82346;False
57;ResNet11;0.49569;6.22039;0.82348;False
58;openCLIP('ViT-B-32', 'laion2bs34bb79k');0.49941;6.1789;0.66264;True
59;openCLIP('ViT-B-16', 'laion400me31');0.50285;6.15317;0.66558;True
60;openCLIP('RN50x4', 'openai');0.50377;6.17208;0.64098;True
61;openCLIP('ViT-B-16', 'laion400me32');0.50388;6.15003;0.66626;True
62;RN50x4;0.50441;6.1656;0.64082;True
63;openCLIP('ViT-B-16-plus-240', 'laion400me31');0.52315;6.11289;0.68536;True
64;openCLIP('ViT-B-16-plus-240', 'laion400me32');0.52444;6.11562;0.68602;True
65;vitb16;0.55039;6.0016;0.6661;True
66;openCLIP('ViT-B-16', 'laion2bs34bb88k');0.5645;6.07565;0.69312;True
67;openCLIP('RN50x16', 'openai');0.58523;6.07972;0.67728;True
68;openCLIP('ViT-L-14', 'laion400me31');0.59287;6.03718;0.722;True
69;openCLIP('ViT-L-14', 'laion400me32');0.59406;6.03602;0.72254;True
70;openCLIP('cocaViT-L-14', 'laion2bs13bb90k');0.63863;5.89176;0.75234;True
71;openCLIP('RN50x64', 'openai');0.64752;6.07782;0.7076;True
72;openCLIP('ViT-L-14', 'laion2bs32bb82k');0.64773;5.93854;0.74526;True
73;vitl14;0.67794;5.96137;0.72868;True
74;vitl14336;0.71126;5.92473;0.74222;True
